Key	Parent key	Code	TitleEn									Title
100		A	Raw Materials, Chemicals, Paper, Fuel									مواد خام، مواد شیمیایی، کاغذ، سوخت
101		B	Industrial Equipment & Tools									تجهیزات و ابزار صنعتی
102		C	Components & Supplies									قطعات و ملزومات
103		D	Construction, Transportation & Facility Equipment & Supplies									تجهیزات و ملزومات ساخت و ساز، حمل و نقل و تأسیسات
104		E	Medical, Laboratory & Test Equipment & Supplies & Pharmaceuticals									تجهیزات و ملزومات پزشکی، آزمایشگاهی و دارویی
105		F	Food, Cleaning & Service Industry Equipment & Supplies									تجهیزات و ملزومات صنایع غذایی، نظافتی و خدماتی
106		G	Business, Communication & Technology Equipment & Supplies									تجهیزات و ملزومات تجاری، ارتباطی و فناوری
107		H	Defense, Security & Safety Equipment & Supplies									تجهیزات و ملزومات دفاعی، امنیتی و ایمنی
108		I	Personal, Domestic & Consumer Equipment & Supplies									تجهیزات و ملزومات شخصی، خانگی و مصرفی
109		J	Services									خدمات
100001	100	10000000	Live Plant and Animal Material and Accessories and Supplies									مواد گیاهی و جانوری زنده و ملزومات
100002	100001	10100000	Live animals									حیوانات زنده
100003	100002	10101500	Livestock									دام
100004	100003	10101501	Cats									گربه
100005	100003	10101502	Dogs									سگ
100008	100003	10101506	Horses									اسب
100009	100003	10101507	Sheep									گوسفند
100010	100003	10101508	Goats									بز
100011	100003	10101509	Asses									الاغ
100013	100003	10101511	Swine									خوک
100014	100003	10101512	Rabbits									خرگوش
100015	100003	10101513	Guinea pigs									خوکچه هندی
100018	100003	10101516	Cattle									گاو
100019	100002	10101600	Birds and fowl									پرندگان و ماکیان
100020	100019	10101601	Live chickens									جوجه زنده
100021	100019	10101602	Live ducks									اردک زنده
100022	100019	10101603	Live turkeys									بوقلمون زنده
100023	100019	10101604	Live geese									غاز زنده
100024	100019	10101605	Live pheasants									قرقاول زنده
100025	100002	10101700	Live fish									ماهی زنده
100026	100025	10101701	Live salmon									ماهی آزاد زنده
100029	100002	10101800	Shellfish and aquatic invertebrates									صدف‌داران و بی‌مهرگان آبزی
100030	100029	10101801	Live shrimp									میگو زنده
100038	100002	10101900	Insects									حشرات
100041	100038	10101903	Bees									زنبور عسل
100042	100038	10101904	Silkworms									کرم ابریشم
100043	100001	10120000	Animal feed									خوراک دام
100044	100043	10121500	Livestock feed									خوراک دام
100045	100044	10121501	Pure wheat bran									سبوس گندم خالص
100050	100043	10121600	Bird and fowl food									غذای پرندگان و ماکیان
100051	100050	10121601	Live food for birds									غذای زنده پرندگان
100053	100043	10121700	Fish food									غذای ماهی
100054	100053	10121701	Fresh or frozen brine									آب نمک تازه یا منجمد
100057	100043	10121800	Dog and cat food									غذای سگ و گربه
100058	100057	10121801	Dry food for dogs									غذای خشک سگ
100066	117163	10131600	Animal containment									محفظه نگهداری حیوانات
100067	117163	10131500	Animal shelters									پناهگاه حیوانات
100068	100066	10131601	Cages or its accessories									قفس یا لوازم جانبی آن
100069	107461	10131701	Terrariums									تراریوم
100071	100066	10131602	Kennels									لانه سگ
100073	100001	10140000	Saddlery and harness goods									زین‌افزار و یراق‌آلات
100074	100073	10141500	Saddlery									زین‌سازی
100075	100074	10141501	Saddles									زین
100084	100001	10150000	Seeds and bulbs and seedlings and cuttings									بذر و پیاز و نهال و قلمه
100085	100084	10151500	Vegetable seeds and seedlings									بذر و نهال سبزیجات
